scenario,method,mae_mu_a,mae_sigma_a_sq,mae_cov_z_a,mean_mu_z,std_mu_z,mean_sigma_z_sq,std_sigma_z_sq
Random - Small Var,MM-Softmax,3.7893988904924567e-05,7.292451645756454e-06,5.022293330401548e-05,0.09733875438031533,0.707908218878928,0.03525390671347455,0.028800980824848808
Random - Small Var,MM-Remax,8.251779194239518e-05,0.00012561397817248884,0.00012337428244936892,0.09733875438031533,0.707908218878928,0.03525390671347455,0.028800980824848808
Random - Small Var,Probit,0.00010753654604896377,2.0657138021827798e-05,,0.09733875438031533,0.707908218878928,0.03525390671347455,0.028800980824848808
Random - Small Var,LL-Softmax,0.0003493322561334996,0.00023249887435904218,6.61180363517739e-05,-0.2018604533802037,0.663500134805902,0.03823592487416985,0.02607667195764875
Random - Small Var,MM-Softmax,5.7956737097616605e-05,6.976065566498956e-06,5.146679357529139e-05,-0.2018604533802037,0.663500134805902,0.03823592487416985,0.02607667195764875
Random - Small Var,MM-Remax,0.00027017558617390677,0.0004018602642788424,0.00019369222422463474,-0.2018604533802037,0.663500134805902,0.03823592487416985,0.02607667195764875
Random - Small Var,Probit,0.0001765903079441442,2.8263232986317346e-05,,-0.2018604533802037,0.663500134805902,0.03823592487416985,0.02607667195764875
Random - Small Var,LL-Softmax,0.0003692152742328633,0.0001389871267888592,5.709287857538879e-05,0.03970828138777769,0.34745234479374526,0.032283593013110096,0.028061453066106155
Random - Small Var,MM-Softmax,4.87422969696033e-05,3.5307829434262136e-06,4.270394323858878e-05,0.03970828138777769,0.34745234479374526,0.032283593013110096,0.028061453066106155
Random - Small Var,MM-Remax,0.00040711402121706324,0.000877212701029861,0.0003620288413466825,0.03970828138777769,0.34745234479374526,0.032283593013110096,0.028061453066106155
Random - Small Var,Probit,0.00011445910376983726,2.0829544231518395e-05,,0.03970828138777769,0.34745234479374526,0.032283593013110096,0.028061453066106155
Random - Small Var,LL-Softmax,0.0005498540506463847,0.0003745908824451728,0.0001154346909568271,-0.06618241457573698,0.5494423904062061,0.06223267219372354,0.02600914196994693
Random - Small Var,MM-Softmax,9.716102869189169e-05,1.3948615975466385e-05,0.00011696745211162625,-0.06618241457573698,0.5494423904062061,0.06223267219372354,0.02600914196994693
Random - Small Var,MM-Remax,0.0003875769412138758,0.00083645904187017,0.00038754711938407003,-0.06618241457573698,0.5494423904062061,0.06223267219372354,0.02600914196994693
